Dish Name,Ingredients,Price,Calories,Category
Malai Paneer Butter Masala,"mushroom, capsicum, rice, garlic, onion",446.11,7,Veg
Creamy Chicken Biryani,"potato, egg, capsicum",358.51,22,Veg
Garlic Jeera Rice,"lentils, yogurt, cauliflower, cashew, garlic",137.5,11,Beverage
Mango Malai Kofta,"rose water, spices, milk",128.86,23,Beverage
Hara Bhara Fish Amritsari,"capsicum, fish, onion",610.3,11,Combo
Palak Chicken 65,"saffron, sugar, nuts, cauliflower, lentils",515.13,48,Non-Veg
Cheese Corn Jeera Rice,"saffron, rose water, milk, lentils",693.5,45,Main Course
Shahi Tandoori Chicken,"capsicum, butter, prawn",328.72,9,Main Course
Ras Fresh Lime Water,"cauliflower, lemon, flour, rose water, yogurt",244.23,20,Dessert
Chilli Jalebi,"sugar, spices, tomato, okra, mushroom, butter",548.58,12,Starter
Malai Jeera Rice,"tomato, potato, mango, mutton, capsicum, okra",235.88,40,Veg
Shahi Paneer Butter Masala,"cashew, spices, fish, noodles, saffron",361.31,21,Starter
Aloo Chicken Tikka Masala,"potato, yogurt, sugar, saffron, paneer",451.35,36,Veg
Tandoori Chole Bhature,"mushroom, cream, onion, lemon, tomato",686.35,39,Starter
Special Prawn Masala,"okra, noodles, cauliflower, potato",522.03,30,Beverage
Prawn Special Thali,"capsicum, tomato, cashew, chicken",444.75,19,Main Course
Spicy Dal Makhani,"capsicum, tomato, butter",612.97,9,Main Course
Palak Mutton Rogan Josh,"mango, mushroom, egg, potato",138.48,47,Combo
Veg Cheese Corn Balls,"garlic, cream, flour",531.49,11,Main Course
Masala Fish Amritsari,"noodles, spinach, lentils, rose water",234.88,9,Bread
Jeera Masala Chai,"onion, mushroom, saffron",331.98,35,Main Course
Mango Onion Bhaji,"milk, paneer, okra, rose water",256.85,49,Bread
Special Fish Amritsari,"cream, prawn, mango",391.77,38,Starter
Classic Veg Thali,"tomato, mushroom, flour, spices",663.79,41,Main Course
Hara Bhara Kheer,"egg, prawn, okra",206.64,50,Beverage
Kadai Gulab Jamun,"rose water, prawn, tomato, paneer, garlic",125.42,18,Dessert
Special Malai Kofta,"sugar, fish, saffron, soy sauce",596.92,50,Dessert
Cheese Corn Classic Thali,"garlic, rice, okra, spices, yogurt",248.86,43,Main Course
Methi Kadai Paneer,"lemon, okra, cream, onion, noodles",594.2,7,Veg
Chicken Hara Bhara Kebab,"saffron, soy sauce, noodles, paneer, spices",126.65,49,Starter
Gobi Chicken Korma,"noodles, rice, butter, mutton",306.08,7,Beverage
Masala Gajar Halwa,"egg, yogurt, mushroom, saffron, spinach",626.48,6,Starter
Chilli Kadai Paneer,"mushroom, rice, onion, flour, nuts, cream",317.18,7,Bread
Kadai Fish Amritsari,"nuts, yogurt, egg, flour, noodles, spices",218.21,47,Main Course
Mutton Kadai Paneer,"lentils, nuts, flour",501.3,39,Beverage
Spicy Paneer Butter Masala,"spinach, okra, butter, garlic, noodles",294.33,25,Combo
Cheese Corn Veg Thali,"okra, butter, noodles, paneer",402.35,39,Main Course
Veg Cheese Corn Balls,"prawn, spices, mutton, egg, flour",512.27,40,Starter
Masala Papdi Chaat,"spinach, mutton, fish, yogurt, potato, lentils",596.91,24,Dessert
Masala Cheese Corn Balls,"rose water, soy sauce, cauliflower, mango, saffron",488.49,23,Beverage
Creamy Gajar Halwa,"potato, yogurt, chicken, butter",231.8,35,Non-Veg
Prawn Papdi Chaat,"milk, lemon, flour, mushroom",171.49,49,Veg
Gulab Chicken Tikka Masala,"spinach, rose water, cream, mushroom",648.83,12,Bread
Special Chicken 65,"soy sauce, noodles, saffron, mango, okra",546.1,45,Dessert
Garlic Special Thali,"lentils, soy sauce, tomato, fish",225.39,26,Beverage
Gulab Cold Coffee,"capsicum, milk, yogurt, cauliflower",119.82,31,Beverage
Gobi Chicken 65,"egg, milk, chicken, mango",83.66,27,Dessert
Garlic Egg Curry,"capsicum, mushroom, spices, rice, cauliflower, mango",98.0,26,Combo
Chilli Jeera Rice,"chicken, flour, onion, noodles",164.13,34,Starter
Classic Gulab Jamun,"rose water, prawn, cashew, milk",252.52,31,Dessert
Lemon Palak Paneer,"nuts, capsicum, tomato",564.36,46,Veg
Garlic Butter Chicken,"chicken, yogurt, mushroom, rice",373.61,12,Main Course
Prawn Gulab Jamun,"spices, saffron, mutton, garlic",438.78,24,Combo
Mutton Fish Amritsari,"garlic, mutton, spices, butter",295.27,32,Beverage
Creamy Veg Thali,"egg, lemon, garlic",348.78,28,Bread
Methi Aloo Gobi,"mango, rose water, noodles, lentils, prawn",608.06,10,Dessert
Gulab Methi Malai Paneer,"milk, saffron, paneer, mushroom, noodles, mango",192.74,18,Beverage
Jeera Gulab Jamun,"paneer, potato, onion, mushroom, egg",382.92,20,Bread
Malai Mutton Rogan Josh,"onion, fish, capsicum",330.73,20,Dessert
Shahi Jalebi,"noodles, cashew, nuts, rose water, lentils",270.11,19,Non-Veg
Chilli Fish Amritsari,"potato, cauliflower, mango, lentils",529.24,38,Dessert
Tandoori Fish Amritsari,"spinach, mutton, paneer, rice, lentils",108.22,8,Dessert
Methi Hara Bhara Kebab,"garlic, noodles, paneer, fish, yogurt, mushroom",376.8,26,Starter
Classic Gulab Jamun,"spices, egg, butter, potato, mushroom, rose water",437.75,48,Veg
Special Aloo Gobi,"onion, mushroom, spices, egg, capsicum",560.93,29,Bread
Ras Methi Malai Paneer,"mutton, fish, lemon, chicken, rose water, sugar",141.52,18,Main Course
Palak Palak Paneer,"tomato, saffron, paneer, egg",359.31,43,Bread
Paneer Chicken Korma,"rose water, tomato, capsicum, okra, potato",343.59,39,Main Course
Malai Aloo Gobi,"tomato, cream, saffron, mutton",448.93,41,Dessert
Prawn Paneer Butter Masala,"flour, lentils, lemon, soy sauce, onion",450.78,32,Beverage
Cheese Corn Gulab Jamun,"chicken, lentils, butter, spinach",371.71,46,Bread
Ras Ras Malai,"lemon, butter, mushroom, spinach, cauliflower, saffron",279.06,11,Starter
Chicken Papdi Chaat,"flour, butter, rose water, onion, prawn",236.49,12,Combo
Mango Veg Thali,"rose water, egg, cream",196.3,28,Bread
Malai Methi Malai Paneer,"lentils, rice, fish, soy sauce",626.12,36,Non-Veg
Spicy Kheer,"mutton, paneer, egg, onion",219.31,12,Bread
Tandoori Aloo Gobi,"lentils, egg, mango, mushroom, rose water",421.78,29,Main Course
Ras Kheer,"tomato, lentils, egg, cashew",659.23,37,Dessert
Lemon Paneer Tikka,"lemon, yogurt, soy sauce, mango, nuts",286.11,39,Combo
Prawn Tandoori Chicken,"milk, capsicum, egg, butter",277.27,35,Combo
Mutton Aloo Gobi,"rice, cashew, garlic",622.0,33,Non-Veg
Aloo Chicken 65,"egg, yogurt, tomato, mango",564.55,21,Beverage
Cheese Corn Onion Bhaji,"milk, prawn, lemon, butter, tomato",225.56,48,Dessert
Kadai Palak Paneer,"garlic, soy sauce, saffron",510.28,6,Veg
Chicken Veg Samosa,"noodles, yogurt, mushroom, egg, spinach",185.39,10,Combo
Cheese Corn Gajar Halwa,"capsicum, rose water, okra, paneer",637.32,34,Dessert
Shahi Cold Coffee,"nuts, fish, yogurt, prawn, cauliflower, lemon",235.06,24,Main Course
Mutton Prawn Masala,"nuts, fish, yogurt, lemon, rose water, paneer",686.33,47,Combo
Palak Paneer Tikka,"lemon, fish, capsicum",456.38,27,Main Course
Malai Fish Amritsari,"garlic, butter, mutton, soy sauce",100.69,28,Starter
Creamy Mango Lassi,"spinach, garlic, tomato, flour, lentils, lemon",409.13,22,Starter
Palak Prawn Masala,"cashew, spices, rose water, tomato, yogurt",547.57,19,Combo
Mango Masala Chai,"paneer, rice, lentils, cream, capsicum, spinach",497.15,48,Dessert
Hara Bhara Egg Curry,"garlic, capsicum, mango, chicken, prawn",647.46,19,Non-Veg
Malai Chicken 65,"egg, spices, rice, butter, mutton",697.47,12,Non-Veg
Kadai Cold Coffee,"sugar, cashew, lemon, nuts, lentils, cauliflower",444.15,14,Combo
Malai Chicken Tikka Masala,"lentils, chicken, nuts, spinach, garlic, capsicum",355.71,20,Beverage
Tandoori Chole Bhature,"cream, flour, lentils, potato, spices",668.39,34,Non-Veg
Shahi Chicken Biryani,"cream, cashew, mushroom",693.07,41,Main Course
Creamy Masala Chai,"capsicum, cashew, yogurt, paneer",251.91,14,Starter
Gobi Gulab Jamun,"chicken, rice, paneer",302.11,20,Beverage
Spicy Mushroom Masala,"egg, spices, tomato, mango",357.93,28,Non-Veg
Prawn Veg Thali,"mutton, rose water, chicken",117.71,35,Combo
Fish Chicken Tikka Masala,"tomato, soy sauce, butter, saffron, mutton, lemon",120.72,22,Beverage
Mutton Kheer,"noodles, cream, flour, nuts, mango, prawn",483.57,40,Main Course
Fish Methi Malai Paneer,"cashew, egg, capsicum, potato, cauliflower, sugar",138.95,32,Beverage
Shahi Gulab Jamun,"mango, tomato, onion, noodles",139.87,28,Starter
Gobi Veg Samosa,"spices, egg, nuts, noodles, cream",680.41,43,Dessert
Veg Chicken Tikka Masala,"yogurt, mango, capsicum, garlic",297.07,40,Beverage
Tandoori Ras Malai,"chicken, mutton, rose water, cashew, egg, nuts",245.82,16,Dessert
Methi Butter Naan,"paneer, spinach, yogurt, flour, tomato",167.96,45,Veg
Creamy Special Thali,"rose water, saffron, onion, spinach, yogurt, sugar",281.12,41,Non-Veg
Gulab Veg Samosa,"onion, lentils, soy sauce",490.4,36,Bread
Fish Ras Malai,"nuts, noodles, spices",255.61,48,Bread
Aloo Butter Naan,"cream, paneer, garlic, yogurt, rose water, milk",165.09,21,Dessert
Chicken Paneer Butter Masala,"spinach, tomato, potato, lentils, nuts, spices",390.16,47,Beverage
Creamy Onion Bhaji,"noodles, chicken, rose water",651.12,25,Combo
Hara Bhara Onion Bhaji,"fish, cream, potato, paneer, saffron, onion",576.82,44,Bread
Lemon Chole Bhature,"mushroom, noodles, flour",404.86,30,Dessert
Chilli Kadai Paneer,"tomato, spices, potato, nuts",297.68,46,Starter
Kadai Chicken Tikka Masala,"spinach, yogurt, tomato, lemon",367.65,41,Bread
Shahi Fresh Lime Water,"prawn, yogurt, soy sauce, tomato, mango",354.17,24,Dessert
Hara Bhara Veg Samosa,"mutton, rose water, soy sauce",103.32,28,Dessert
Creamy Palak Paneer,"rose water, fish, lentils, flour, sugar, chicken",358.83,41,Main Course
Chicken Kheer,"cream, soy sauce, garlic, cashew",689.08,10,Starter
Classic Gajar Halwa,"saffron, spinach, mango, yogurt, potato, cauliflower",560.17,48,Veg
Jeera Kadai Paneer,"milk, fish, okra",528.71,47,Starter
Chicken Palak Paneer,"nuts, mutton, flour, rice",448.93,10,Dessert
Gobi Egg Curry,"rice, onion, noodles, sugar, chicken",304.81,16,Main Course
Chicken Mutton Rogan Josh,"yogurt, tomato, fish, garlic",394.77,39,Veg
Shahi Kadai Paneer,"milk, yogurt, saffron, spinach",595.43,44,Starter
Chilli Methi Malai Paneer,"mushroom, soy sauce, fish, capsicum, mutton",678.67,35,Main Course
Veg Fresh Lime Water,"fish, milk, potato, okra, soy sauce, cauliflower",679.09,17,Starter
Mango Gulab Jamun,"sugar, lentils, rose water, cream, nuts, okra",607.72,23,Non-Veg
Garlic Jeera Rice,"noodles, onion, capsicum, soy sauce",628.47,6,Combo
Classic Onion Bhaji,"milk, onion, sugar, capsicum",97.48,11,Beverage
Jeera Aloo Gobi,"mango, rice, soy sauce, paneer, onion",91.78,18,Starter
Gobi Kheer,"fish, mushroom, mutton",155.55,20,Combo
Malai Badam Milk,"lemon, chicken, mushroom",525.5,23,Combo
Spicy Badam Milk,"spinach, cashew, mango, butter, okra, lemon",121.96,38,Veg
Mutton Prawn Masala,"sugar, rice, lemon, paneer, spinach, flour",121.89,20,Non-Veg
Garlic Jalebi,"rice, butter, nuts, cashew, spinach",594.84,48,Bread
Methi Prawn Masala,"tomato, rose water, butter, fish",204.99,17,Veg
Chicken Butter Naan,"okra, chicken, milk, prawn, garlic, yogurt",301.32,8,Beverage
Palak Paneer Butter Masala,"flour, sugar, capsicum, soy sauce, potato, saffron",683.71,36,Bread
Veg Special Thali,"noodles, onion, spinach",418.19,25,Non-Veg
Creamy Tandoori Chicken,"soy sauce, noodles, saffron, nuts, butter",530.62,27,Combo
Palak Veg Samosa,"sugar, okra, flour, lemon, cashew, onion",670.73,14,Bread
Classic Hara Bhara Kebab,"sugar, milk, butter, yogurt, soy sauce",668.27,28,Bread
Garlic Dal Makhani,"flour, prawn, lentils, mushroom, spices",96.07,16,Bread
Aloo Egg Curry,"okra, soy sauce, cauliflower",697.75,23,Bread
Masala Paneer Butter Masala,"soy sauce, spinach, onion",582.52,25,Beverage
Methi Dal Makhani,"mutton, saffron, spinach, sugar, capsicum",155.24,17,Starter
Kadai Mutton Rogan Josh,"rose water, rice, onion, tomato, mutton",326.86,50,Bread
Aloo Papdi Chaat,"rice, prawn, tomato",358.98,48,Beverage
Special Masala Chai,"rice, noodles, cream, spices",401.22,24,Starter
Butter Tandoori Chicken,"nuts, fish, onion, okra",201.71,40,Dessert
Special Butter Naan,"saffron, yogurt, cashew",602.37,41,Veg
Lemon Butter Chicken,"cauliflower, egg, chicken, lemon, fish",477.98,24,Bread
Kadai Onion Bhaji,"cream, saffron, soy sauce",337.69,34,Main Course
Chicken Kheer,"nuts, flour, rice, sugar, garlic",277.85,34,Non-Veg
Palak Methi Malai Paneer,"cream, fish, milk",615.78,31,Main Course
Mango Jeera Rice,"potato, saffron, lemon, rose water, mutton",388.37,10,Combo
Aloo Chicken 65,"nuts, cream, fish, lemon",450.46,46,Bread
Paneer Cold Coffee,"noodles, rice, okra",531.05,30,Beverage
Classic Onion Bhaji,"sugar, fish, tomato, milk",392.64,40,Dessert
Lemon Badam Milk,"rice, garlic, flour",311.38,26,Beverage
Garlic Aloo Gobi,"butter, chicken, mango, tomato, nuts, saffron",578.46,38,Bread
Special Kheer,"prawn, saffron, flour, mutton",448.11,37,Bread
Methi Fresh Lime Water,"sugar, cashew, spices",687.54,42,Dessert
Jeera Butter Chicken,"capsicum, cream, mango, saffron, milk",171.62,48,Main Course
Classic Fresh Lime Water,"potato, chicken, soy sauce",274.49,14,Combo
Methi Chicken Biryani,"cream, nuts, tomato, okra, garlic, lentils",281.53,47,Bread
Aloo Egg Curry,"rose water, cashew, nuts, okra",458.25,17,Main Course
Palak Masala Chai,"fish, cauliflower, lemon, prawn, mango",296.26,22,Dessert
Tandoori Fresh Lime Water,"flour, egg, spinach, milk, lemon, tomato",260.08,23,Non-Veg
Veg Methi Malai Paneer,"cauliflower, garlic, egg, lentils, rice, soy sauce",511.63,13,Non-Veg
Cheese Corn Jalebi,"capsicum, cream, garlic",336.25,50,Bread
Tandoori Hara Bhara Kebab,"egg, mango, potato, fish",279.12,46,Veg
Ras Palak Paneer,"butter, spinach, egg, flour",568.54,16,Dessert
Gulab Chicken Korma,"cashew, fish, rose water",693.24,39,Bread
Gulab Hara Bhara Kebab,"lentils, garlic, flour, cream, saffron, onion",533.29,46,Dessert
Methi Mushroom Masala,"fish, potato, spinach, flour, noodles",399.47,10,Combo
Shahi Chicken Tikka Masala,"mango, prawn, mushroom, paneer",241.69,20,Bread
Garlic Ras Malai,"paneer, okra, sugar, mushroom, cream",494.03,34,Dessert
Butter Onion Bhaji,"spices, fish, sugar, capsicum, rice",376.47,34,Beverage
Fish Masala Chai,"mushroom, onion, soy sauce, sugar",128.42,41,Non-Veg
Classic Masala Chai,"yogurt, saffron, prawn, soy sauce",152.07,18,Bread
Creamy Veg Thali,"rose water, rice, egg",363.22,8,Bread
Shahi Butter Naan,"okra, egg, paneer, sugar, garlic, fish",125.28,32,Beverage
Methi Dal Makhani,"tomato, mango, butter",258.0,16,Starter
Garlic Papdi Chaat,"soy sauce, noodles, rose water, potato, lemon, butter",503.29,47,Starter
Malai Malai Kofta,"rice, sugar, spices, egg, paneer, milk",94.1,24,Bread
Shahi Cold Coffee,"capsicum, spices, lemon, spinach, tomato, rice",196.86,12,Veg
Jeera Papdi Chaat,"mushroom, cauliflower, tomato",142.56,7,Bread
Cheese Corn Veg Samosa,"flour, soy sauce, capsicum",414.65,8,Starter
Aloo Mango Lassi,"prawn, mushroom, mutton, yogurt, capsicum",336.41,22,Veg
Gobi Jalebi,"noodles, lemon, cream, nuts",663.78,47,Combo
Jeera Special Thali,"egg, tomato, yogurt, potato, onion, milk",413.52,20,Main Course
Paneer Aloo Gobi,"egg, rice, milk",230.57,18,Beverage
Malai Palak Paneer,"onion, potato, cream, lentils, milk",497.68,43,Veg
Mango Dal Makhani,"mango, cauliflower, cashew, mutton",673.35,5,Main Course
Ras Fish Amritsari,"mango, mushroom, cauliflower",325.91,20,Beverage
Garlic Mango Lassi,"mutton, okra, sugar, lemon, rose water",141.14,35,Beverage
Ras Chicken Biryani,"butter, fish, noodles, spices, sugar, tomato",90.06,40,Combo
Paneer Aloo Gobi,"milk, mushroom, lemon, cashew",239.54,36,Bread
Prawn Jeera Rice,"saffron, rice, lemon, spinach, cream",404.85,9,Veg
Garlic Paneer Tikka,"tomato, yogurt, paneer, cauliflower",393.55,28,Veg
Cheese Corn Badam Milk,"chicken, paneer, lentils, rose water, cauliflower, mango",90.37,22,Dessert
Spicy Veg Thali,"spinach, cream, rose water, mango, okra, tomato",229.4,44,Dessert
Lemon Malai Kofta,"onion, spinach, potato, capsicum, fish, spices",693.94,19,Dessert
Shahi Palak Paneer,"onion, flour, milk",313.85,35,Veg
Malai Paneer Tikka,"lemon, noodles, cashew",430.83,11,Veg
Kadai Chicken Biryani,"lentils, chicken, rose water, butter, cashew, rice",637.57,41,Veg
Butter Tandoori Chicken,"yogurt, flour, tomato, mutton",180.72,20,Combo
Shahi Cold Coffee,"onion, nuts, cream, garlic",350.99,9,Beverage
Cheese Corn Badam Milk,"prawn, paneer, lemon, rice, flour, capsicum",384.17,27,Combo
Fish Mushroom Masala,"onion, milk, mutton, yogurt, flour, spices",522.13,10,Dessert
Special Egg Curry,"milk, prawn, sugar, garlic",136.74,24,Bread
Veg Ras Malai,"spinach, noodles, soy sauce",425.33,37,Combo
Tandoori Butter Chicken,"prawn, milk, paneer",260.95,29,Non-Veg
Chilli Masala Chai,"saffron, milk, rice, lentils",266.7,36,Starter
Creamy Jeera Rice,"mutton, mushroom, flour, butter, spinach, rice",665.42,45,Bread
Cheese Corn Badam Milk,"rice, mutton, paneer",668.27,26,Combo
Jeera Kadai Paneer,"rice, yogurt, saffron, mutton, nuts, garlic",376.99,16,Combo
Chicken Mango Lassi,"mushroom, saffron, potato, rice, egg, flour",323.62,12,Main Course
Hara Bhara Cold Coffee,"rose water, cauliflower, soy sauce",574.57,49,Non-Veg
Lemon Papdi Chaat,"mutton, mushroom, okra, yogurt",523.45,29,Non-Veg
Prawn Kheer,"egg, lentils, chicken, flour, spinach, nuts",635.21,39,Non-Veg
Tandoori Gajar Halwa,"saffron, butter, flour, cashew, noodles",145.69,11,Dessert
Kadai Veg Thali,"soy sauce, sugar, flour, rose water",558.85,42,Starter
Veg Butter Chicken,"egg, onion, spices, yogurt, nuts",273.37,34,Main Course
Aloo Prawn Masala,"soy sauce, prawn, tomato",266.16,50,Non-Veg
Spicy Kadai Paneer,"mushroom, spinach, saffron, cashew",427.11,34,Main Course
Jeera Onion Bhaji,"noodles, flour, chicken, potato",358.74,32,Combo
Spicy Chicken Biryani,"garlic, spinach, sugar",282.11,34,Non-Veg
Palak Mutton Rogan Josh,"milk, flour, spices, nuts, rose water",462.76,48,Dessert
Ras Badam Milk,"prawn, spices, mushroom, mutton",152.51,28,Starter
Aloo Egg Curry,"milk, noodles, spinach, lemon",474.01,49,Starter
Gobi Jeera Rice,"spinach, prawn, soy sauce, cream",616.62,5,Bread
Special Fish Amritsari,"egg, cashew, mushroom, cauliflower, nuts, lemon",355.19,15,Non-Veg
Hara Bhara Butter Chicken,"fish, butter, lentils, capsicum",413.32,15,Bread
Hara Bhara Mutton Rogan Josh,"spices, lentils, sugar",416.07,7,Bread
Gobi Chicken Biryani,"mushroom, mutton, butter",358.83,27,Non-Veg
Prawn Paneer Butter Masala,"cauliflower, nuts, noodles, saffron",462.01,18,Main Course
Jeera Veg Samosa,"saffron, prawn, fish, lentils, garlic",164.07,31,Veg
Palak Hara Bhara Kebab,"mushroom, yogurt, prawn, flour",383.46,41,Dessert
Malai Papdi Chaat,"onion, flour, lentils",510.72,28,Bread
Dal Tandoori Chicken,"rose water, nuts, tomato",573.32,30,Main Course
Fish Chicken Biryani,"fish, cashew, rice, lemon, cream",108.48,45,Bread
Spicy Paneer Butter Masala,"soy sauce, rose water, paneer, noodles",205.44,49,Starter
Gulab Butter Naan,"onion, sugar, okra, saffron, cream",325.73,24,Main Course
Fish Palak Paneer,"cauliflower, mango, tomato",162.27,19,Bread
Spicy Paneer Tikka,"noodles, rice, mango",123.91,29,Non-Veg
Chilli Chicken Tikka Masala,"mutton, rice, milk, yogurt, tomato",408.92,5,Starter
