ingredientName,unit,category,costPerUnit,stockQuantity,reorderLevel,usage
Chopped All-purpose Flour,kg,Flour,9.22,57,42,used in pizza
Chopped Basil,pcs,Herb,15.13,41,40,used in grilled dishes
Chopped Basil,L,Herb,7.69,130,12,used in biryani
Chopped Basil,L,Herb,9.89,181,9,used in sauces
Chopped Basmati Rice,L,Grain,3.52,88,21,used in burgers
Chopped Beef,pcs,Meat,10.29,78,11,used in sauces
Chopped Black Pepper,kg,Spice,2.37,137,23,used in desserts
Chopped Brown Rice,mL,Grain,16.58,85,41,used in salads
Chopped Brown Rice,g,Grain,10.33,122,49,used in pizza
Chopped Brown Rice,g,Grain,17.4,186,15,used in grilled dishes
Chopped Brown Rice,g,Grain,8.18,197,18,used in salads
Chopped Butter,g,Dairy,5.87,61,28,used in salads
Chopped Butter,L,Dairy,11.18,86,33,used in stir fry
Chopped Butter,pcs,Dairy,15.19,193,37,used in soups
Chopped Cabbage,g,Vegetable,19.54,134,37,used in biryani
Chopped Cabbage,kg,Vegetable,2.47,45,12,used in biryani
Chopped Cabbage,mL,Vegetable,17.04,109,5,used in desserts
Chopped Carrot,g,Vegetable,2.26,109,40,used in soups
Chopped Carrot,pcs,Vegetable,15.65,195,34,used in burgers
Chopped Carrot,g,Vegetable,4.95,126,38,used in stir fry
Chopped Cheddar Cheese,pcs,Dairy,3.97,145,33,used in sauces
Chopped Cheddar Cheese,g,Dairy,17.22,131,38,used in salads
Chopped Chicken Breast,kg,Poultry,1.69,136,19,used in grilled dishes
Chopped Chicken Thigh,pcs,Poultry,5.69,121,43,used in sauces
Chopped Chicken Thigh,L,Poultry,3.98,124,7,used in sauces
Chopped Chicken Thigh,g,Poultry,12.11,162,32,used in desserts
Chopped Chickpeas,pcs,Legume,13.47,95,27,used in pasta recipes
Chopped Chickpeas,g,Legume,10.25,96,15,used in burgers
Chopped Chickpeas,pcs,Legume,19.93,154,21,used in desserts
Chopped Chili Powder,mL,Spice,5.67,37,9,used in pasta recipes
Chopped Chili Powder,g,Spice,16.36,36,11,used in pizza
Chopped Cilantro,g,Herb,6.69,175,48,used in desserts
Chopped Cilantro,pcs,Herb,0.93,142,31,used in biryani
Chopped Cilantro,mL,Herb,17.38,47,50,used in curry dishes
Chopped Cilantro,mL,Herb,1.98,161,24,used in grilled dishes
Chopped Coriander Powder,kg,Spice,19.48,66,30,used in biryani
Chopped Cumin,mL,Spice,19.06,114,46,used in curry dishes
Chopped Cumin,g,Spice,2.71,157,30,used in pasta recipes
Chopped Cumin,g,Spice,7.01,144,19,used in pasta recipes
Chopped Cumin,pcs,Spice,3.6,30,16,used in curry dishes
Chopped Garlic,L,Vegetable,10.13,86,14,used in curry dishes
Chopped Garlic,L,Vegetable,16.86,151,24,used in salads
Chopped Garlic,mL,Vegetable,5.19,199,28,used in burgers
Chopped Ginger,g,Vegetable,9.05,27,31,used in biryani
Chopped Honey,mL,Sweetener,16.67,101,13,used in curry dishes
Chopped Honey,L,Sweetener,17.47,65,22,used in stir fry
Chopped Honey,L,Sweetener,5.45,188,36,used in salads
Chopped Kidney Beans,mL,Legume,19.71,76,34,used in pizza
Chopped Kidney Beans,L,Legume,19.28,55,7,used in pasta recipes
Chopped Kidney Beans,pcs,Legume,6.5,87,21,used in stir fry
Chopped Lentils,pcs,Legume,14.07,21,23,used in stir fry
Chopped Lentils,kg,Legume,16.76,104,39,used in pasta recipes
Chopped Lentils,mL,Legume,6.75,127,46,used in curry dishes
Chopped Mayonnaise,g,Condiment,16.26,132,39,used in biryani
Chopped Mayonnaise,kg,Condiment,4.51,130,23,used in sauces
Chopped Mayonnaise,mL,Condiment,17.02,77,11,used in pasta recipes
Chopped Milk,L,Dairy,0.63,87,50,used in stir fry
Chopped Mint,L,Herb,12.76,194,40,used in grilled dishes
Chopped Mint,pcs,Herb,17.84,110,35,used in soups
Chopped Mozzarella,g,Dairy,1.94,46,43,used in burgers
Chopped Mozzarella,mL,Dairy,18.76,171,5,used in pasta recipes
Chopped Mozzarella,kg,Dairy,9.03,170,28,used in grilled dishes
Chopped Mustard Oil,kg,Oil,12.03,185,8,used in sauces
Chopped Mustard Oil,L,Oil,1.33,18,50,used in biryani
Chopped Mutton,pcs,Meat,13.67,115,6,used in desserts
Chopped Mutton,g,Meat,13.63,30,50,used in salads
Chopped Mutton,kg,Meat,16.43,112,44,used in sauces
Chopped Mutton,pcs,Meat,15.88,154,44,used in grilled dishes
Chopped Noodles,mL,Pasta,14.32,73,32,used in sauces
Chopped Noodles,pcs,Pasta,9.19,180,16,used in desserts
Chopped Olive Oil,mL,Oil,10.67,10,48,used in pizza
Chopped Olive Oil,L,Oil,17.48,97,22,used in pasta recipes
Chopped Olive Oil,L,Oil,17.54,127,45,used in burgers
Chopped Olive Oil,L,Oil,11.39,167,19,used in biryani
Chopped Olive Oil,pcs,Oil,10.98,150,23,used in stir fry
Chopped Onion,g,Vegetable,4.16,58,17,used in sauces
Chopped Onion,pcs,Vegetable,14.96,18,42,used in sauces
Chopped Onion,L,Vegetable,18.7,197,12,used in salads
Chopped Onion,kg,Vegetable,13.89,168,37,used in burgers
Chopped Paneer,g,Dairy,8.3,133,27,used in soups
Chopped Pasta,g,Pasta,6.45,181,6,used in salads
Chopped Pasta,mL,Pasta,4.14,184,22,used in stir fry
Chopped Pasta,L,Pasta,1.8,65,34,used in sauces
Chopped Pork,kg,Meat,2.35,174,22,used in salads
Chopped Pork,pcs,Meat,5.85,180,15,used in stir fry
Chopped Pork,kg,Meat,8.73,157,39,used in biryani
Chopped Pork,kg,Meat,1.44,98,10,used in salads
Chopped Pork,pcs,Meat,9.71,149,36,used in stir fry
Chopped Potato,kg,Vegetable,19.58,98,7,used in desserts
Chopped Potato,g,Vegetable,9.41,85,32,used in pasta recipes
Chopped Rice,mL,Grain,5.47,27,39,used in curry dishes
Chopped Salmon,L,Seafood,11.61,101,35,used in burgers
Chopped Salmon,kg,Seafood,3.91,147,42,used in grilled dishes
Chopped Salmon,g,Seafood,14.98,99,21,used in desserts
Chopped Salmon,pcs,Seafood,10.23,32,29,used in pizza
Chopped Salmon,kg,Seafood,11.98,63,45,used in grilled dishes
Chopped Salmon,g,Seafood,16.04,68,26,used in curry dishes
Chopped Salt,kg,Spice,2.9,112,12,used in salads
Chopped Salt,kg,Spice,13.29,121,44,used in desserts
Chopped Shrimp,mL,Seafood,16.7,160,6,used in curry dishes
Chopped Soy Sauce,L,Condiment,1.52,143,34,used in stir fry
Chopped Soy Sauce,mL,Condiment,6.28,70,49,used in biryani
Chopped Soy Sauce,pcs,Condiment,2.84,137,31,used in desserts
Chopped Soy Sauce,L,Condiment,3.04,124,32,used in desserts
Chopped Spaghetti,kg,Pasta,0.64,38,44,used in stir fry
Chopped Spaghetti,L,Pasta,7.5,11,5,used in pizza
Chopped Spaghetti,L,Pasta,18.19,171,24,used in stir fry
Chopped Spinach,L,Vegetable,15.92,132,39,used in desserts
Chopped Spinach,g,Vegetable,15.23,42,13,used in sauces
Chopped Spinach,g,Vegetable,11.88,93,7,used in desserts
Chopped Spinach,kg,Vegetable,8.95,172,47,used in burgers
Chopped Sugar,L,Sweetener,8.43,93,46,used in desserts
Chopped Sunflower Oil,mL,Oil,6.75,42,43,used in sauces
Chopped Sunflower Oil,kg,Oil,2.84,131,36,used in stir fry
Chopped Tomato,L,Vegetable,8.48,36,33,used in desserts
Chopped Tomato Ketchup,kg,Condiment,16.16,199,8,used in stir fry
Chopped Tomato Ketchup,g,Condiment,6.52,138,18,used in sauces
Chopped Tomato Ketchup,pcs,Condiment,8.56,173,20,used in grilled dishes
Chopped Tuna,kg,Seafood,18.05,153,6,used in burgers
Chopped Tuna,g,Seafood,10.48,90,45,used in sauces
Chopped Tuna,pcs,Seafood,10.68,73,30,used in pasta recipes
Chopped Tuna,g,Seafood,0.54,141,49,used in pizza
Chopped Turmeric,g,Spice,4.61,29,43,used in curry dishes
Chopped Vinegar,L,Condiment,12.64,59,11,used in biryani
Chopped Wheat Flour,L,Flour,10.9,177,39,used in biryani
Chopped Wheat Flour,mL,Flour,0.91,61,12,used in stir fry
Chopped Yogurt,pcs,Dairy,6.61,122,46,used in sauces
Chopped Yogurt,L,Dairy,9.76,19,21,used in pizza
Chopped Yogurt,L,Dairy,15.42,198,12,used in biryani
Chopped Yogurt,mL,Dairy,17.16,35,23,used in pizza
Dried All-purpose Flour,kg,Flour,5.72,105,37,used in soups
Dried Basil,g,Herb,6.44,112,45,used in salads
Dried Basmati Rice,g,Grain,9.14,167,6,used in curry dishes
Dried Basmati Rice,pcs,Grain,7.69,84,35,used in biryani
Dried Basmati Rice,g,Grain,8.98,135,49,used in curry dishes
Dried Beef,g,Meat,0.99,148,47,used in pizza
Dried Black Pepper,g,Spice,19.98,90,14,used in burgers
Dried Black Pepper,mL,Spice,1.26,168,16,used in soups
Dried Brown Rice,mL,Grain,2.48,37,18,used in curry dishes
Dried Brown Rice,g,Grain,5.42,45,14,used in burgers
Dried Butter,L,Dairy,12.78,34,27,used in pizza
Dried Butter,g,Dairy,18.08,172,10,used in sauces
Dried Butter,g,Dairy,1.28,130,50,used in stir fry
Dried Butter,kg,Dairy,18.43,109,30,used in biryani
Dried Cabbage,g,Vegetable,5.19,100,38,used in sauces
Dried Cabbage,kg,Vegetable,11.65,121,38,used in salads
Dried Carrot,L,Vegetable,15.86,10,26,used in desserts
Dried Cheddar Cheese,L,Dairy,4.76,95,42,used in pizza
Dried Cheddar Cheese,g,Dairy,7.95,105,23,used in desserts
Dried Cheddar Cheese,kg,Dairy,17.42,138,33,used in grilled dishes
Dried Cheddar Cheese,kg,Dairy,12.75,123,47,used in pasta recipes
Dried Cheddar Cheese,L,Dairy,19.41,70,40,used in biryani
Dried Cheddar Cheese,kg,Dairy,14.37,61,37,used in sauces
Dried Chicken Breast,pcs,Poultry,5.14,120,7,used in biryani
Dried Chicken Breast,mL,Poultry,1.76,177,9,used in grilled dishes
Dried Chicken Breast,pcs,Poultry,2.6,129,28,used in burgers
Dried Chicken Thigh,kg,Poultry,19.15,132,42,used in stir fry
Dried Chicken Thigh,L,Poultry,6.22,11,32,used in desserts
Dried Chicken Thigh,pcs,Poultry,3.04,32,44,used in pizza
Dried Chicken Thigh,g,Poultry,11.67,73,22,used in burgers
Dried Chicken Thigh,mL,Poultry,7.85,61,49,used in grilled dishes
Dried Chicken Thigh,pcs,Poultry,15.1,62,36,used in biryani
Dried Chickpeas,pcs,Legume,11.09,48,33,used in curry dishes
Dried Chili Powder,g,Spice,6.5,93,39,used in pasta recipes
Dried Cilantro,pcs,Herb,18.44,109,23,used in stir fry
Dried Cilantro,g,Herb,5.21,35,43,used in salads
Dried Cilantro,pcs,Herb,17.63,195,46,used in burgers
Dried Cilantro,kg,Herb,14.2,185,45,used in soups
Dried Coriander Powder,g,Spice,7.59,176,10,used in sauces
Dried Coriander Powder,pcs,Spice,5.35,182,13,used in pizza
Dried Cumin,pcs,Spice,3.05,154,34,used in sauces
Dried Cumin,pcs,Spice,4.37,118,15,used in pizza
Dried Cumin,g,Spice,12.11,194,36,used in burgers
Dried Garlic,pcs,Vegetable,10.46,43,10,used in grilled dishes
Dried Garlic,g,Vegetable,9.44,158,8,used in desserts
Dried Ginger,mL,Vegetable,1.35,128,46,used in stir fry
Dried Ginger,pcs,Vegetable,18.35,185,29,used in soups
Dried Ginger,kg,Vegetable,5.13,68,27,used in stir fry
Dried Ginger,kg,Vegetable,10.22,68,13,used in burgers
Dried Ginger,L,Vegetable,18.44,89,16,used in soups
Dried Ginger,kg,Vegetable,14.54,55,34,used in salads
Dried Honey,pcs,Sweetener,4.69,50,42,used in burgers
Dried Kidney Beans,pcs,Legume,7.66,169,5,used in sauces
Dried Kidney Beans,g,Legume,7.91,52,46,used in pasta recipes
Dried Lentils,mL,Legume,15.47,170,10,used in pizza
Dried Mayonnaise,g,Condiment,5.88,77,44,used in burgers
Dried Mayonnaise,g,Condiment,9.6,176,15,used in salads
Dried Milk,g,Dairy,1,136,38,used in pizza
Dried Milk,mL,Dairy,8.73,84,45,used in grilled dishes
Dried Mint,pcs,Herb,10.09,70,7,used in sauces
Dried Mozzarella,kg,Dairy,0.59,177,18,used in curry dishes
Dried Mozzarella,kg,Dairy,9.51,26,49,used in pasta recipes
Dried Mozzarella,pcs,Dairy,1.43,68,23,used in grilled dishes
Dried Mozzarella,kg,Dairy,10.29,83,40,used in soups
Dried Mozzarella,L,Dairy,1.61,165,18,used in curry dishes
Dried Mozzarella,pcs,Dairy,14.12,45,13,used in salads
Dried Mustard Oil,L,Oil,13.26,89,24,used in curry dishes
Dried Mustard Oil,kg,Oil,10.7,48,9,used in sauces
Dried Mutton,g,Meat,9.37,27,17,used in burgers
Dried Mutton,kg,Meat,12.04,59,35,used in salads
Dried Mutton,pcs,Meat,12.21,166,23,used in desserts
Dried Mutton,pcs,Meat,8.46,172,35,used in curry dishes
Dried Noodles,g,Pasta,0.68,94,24,used in stir fry
Dried Noodles,g,Pasta,9.46,90,9,used in salads
Dried Noodles,kg,Pasta,7.09,16,30,used in desserts
Dried Noodles,L,Pasta,5.36,173,32,used in biryani
Dried Noodles,mL,Pasta,17.93,13,36,used in sauces
Dried Olive Oil,pcs,Oil,15.63,39,28,used in salads
Dried Onion,kg,Vegetable,13.4,164,19,used in soups
Dried Paneer,g,Dairy,9.41,84,37,used in desserts
Dried Paneer,kg,Dairy,8.61,172,7,used in grilled dishes
Dried Pasta,mL,Pasta,3.29,68,21,used in salads
Dried Pasta,L,Pasta,16.82,54,28,used in biryani
Dried Pasta,g,Pasta,12.26,95,11,used in desserts
Dried Pork,kg,Meat,0.92,61,41,used in curry dishes
Dried Pork,kg,Meat,7.23,100,49,used in biryani
Dried Pork,L,Meat,5.63,36,49,used in sauces
Dried Pork,g,Meat,19.54,44,43,used in soups
Dried Potato,kg,Vegetable,11.23,96,15,used in salads
Dried Potato,L,Vegetable,17.77,181,37,used in salads
Dried Rice,pcs,Grain,9.86,190,43,used in soups
Dried Rice,pcs,Grain,7.38,161,30,used in stir fry
Dried Rice,g,Grain,11.13,136,31,used in pasta recipes
Dried Salmon,kg,Seafood,4.54,81,19,used in salads
Dried Salmon,mL,Seafood,5.92,144,41,used in sauces
Dried Salt,kg,Spice,14.28,92,49,used in grilled dishes
Dried Shrimp,L,Seafood,4.54,134,44,used in sauces
Dried Shrimp,g,Seafood,14.17,47,48,used in curry dishes
Dried Soy Sauce,kg,Condiment,1.78,32,43,used in pizza
Dried Soy Sauce,kg,Condiment,8.27,128,17,used in salads
Dried Soy Sauce,mL,Condiment,14.56,24,23,used in curry dishes
Dried Soy Sauce,pcs,Condiment,12.69,196,43,used in sauces
Dried Soy Sauce,pcs,Condiment,8.83,58,40,used in stir fry
Dried Spaghetti,mL,Pasta,6.92,159,49,used in biryani
Dried Spaghetti,g,Pasta,10.9,116,47,used in stir fry
Dried Spaghetti,mL,Pasta,7.21,197,18,used in salads
Dried Spaghetti,g,Pasta,15.87,71,30,used in biryani
Dried Spaghetti,g,Pasta,19.39,160,27,used in pizza
Dried Spinach,mL,Vegetable,2.91,153,35,used in salads
Dried Spinach,pcs,Vegetable,16.65,162,38,used in grilled dishes
Dried Sugar,pcs,Sweetener,13.25,145,25,used in sauces
Dried Sunflower Oil,pcs,Oil,1.4,197,28,used in biryani
Dried Sunflower Oil,g,Oil,1.51,192,31,used in biryani
Dried Sunflower Oil,g,Oil,10.43,85,27,used in pasta recipes
Dried Tomato,L,Vegetable,0.76,196,30,used in salads
Dried Tomato,kg,Vegetable,18.74,146,27,used in sauces
Dried Tomato,kg,Vegetable,14.34,129,49,used in salads
Dried Tomato Ketchup,kg,Condiment,10.35,173,17,used in salads
Dried Tuna,kg,Seafood,1.74,104,47,used in salads
Dried Tuna,mL,Seafood,15.57,100,25,used in pizza
Dried Tuna,L,Seafood,8.36,38,47,used in pasta recipes
Dried Tuna,kg,Seafood,14.38,131,44,used in desserts
Dried Turmeric,pcs,Spice,14.01,56,7,used in biryani
Dried Turmeric,L,Spice,4.92,200,10,used in biryani
Dried Vinegar,pcs,Condiment,14.35,130,43,used in biryani
Dried Vinegar,pcs,Condiment,18.94,157,11,used in pasta recipes
Dried Wheat Flour,kg,Flour,16.92,159,14,used in sauces
Dried Wheat Flour,g,Flour,13.95,110,26,used in pasta recipes
Dried Yogurt,L,Dairy,17.83,11,35,used in desserts
Dried Yogurt,mL,Dairy,19.28,103,20,used in desserts
Dried Yogurt,pcs,Dairy,16.49,96,10,used in grilled dishes
Dried Yogurt,g,Dairy,2.4,28,8,used in burgers
Fresh All-purpose Flour,kg,Flour,18.59,174,39,used in stir fry
Fresh All-purpose Flour,pcs,Flour,5.52,40,10,used in biryani
Fresh All-purpose Flour,pcs,Flour,8.35,182,11,used in desserts
Fresh All-purpose Flour,pcs,Flour,7.88,54,42,used in biryani
Fresh Basil,kg,Herb,8.42,127,44,used in sauces
Fresh Basil,kg,Herb,7.07,72,13,used in stir fry
Fresh Basmati Rice,L,Grain,1.25,42,43,used in burgers
Fresh Basmati Rice,L,Grain,9.78,83,8,used in biryani
Fresh Beef,mL,Meat,12.71,140,30,used in pizza
Fresh Beef,kg,Meat,16.79,178,27,used in pasta recipes
Fresh Beef,kg,Meat,4.91,30,43,used in grilled dishes
Fresh Black Pepper,kg,Spice,7.55,170,10,used in curry dishes
Fresh Black Pepper,kg,Spice,18.32,91,44,used in burgers
Fresh Black Pepper,L,Spice,2.43,44,17,used in salads
Fresh Black Pepper,g,Spice,2.83,114,41,used in salads
Fresh Brown Rice,mL,Grain,4.59,106,38,used in pasta recipes
Fresh Butter,L,Dairy,17.05,52,35,used in stir fry
Fresh Butter,kg,Dairy,19.57,89,6,used in grilled dishes
Fresh Butter,L,Dairy,18.62,38,35,used in pizza
Fresh Cabbage,kg,Vegetable,4.28,24,41,used in sauces
Fresh Cabbage,pcs,Vegetable,14.77,88,14,used in burgers
Fresh Cabbage,kg,Vegetable,14.94,95,32,used in pizza
Fresh Carrot,pcs,Vegetable,17.62,120,14,used in desserts
Fresh Carrot,pcs,Vegetable,7.29,31,8,used in pasta recipes
Fresh Carrot,kg,Vegetable,13.78,32,28,used in grilled dishes
Fresh Cheddar Cheese,L,Dairy,8.39,195,31,used in desserts
Fresh Chicken Breast,L,Poultry,7.66,89,17,used in pasta recipes
Fresh Chicken Thigh,kg,Poultry,6.66,42,48,used in pasta recipes
Fresh Chicken Thigh,mL,Poultry,17.61,168,42,used in grilled dishes
Fresh Chickpeas,pcs,Legume,15.24,65,50,used in burgers
Fresh Chickpeas,g,Legume,15.53,132,15,used in burgers
Fresh Chickpeas,mL,Legume,8.58,172,25,used in burgers
Fresh Chickpeas,mL,Legume,5.05,161,6,used in burgers
Fresh Chili Powder,g,Spice,2.1,119,50,used in stir fry
Fresh Chili Powder,pcs,Spice,5.55,29,27,used in pizza
Fresh Cilantro,kg,Herb,2.33,143,7,used in biryani
Fresh Cilantro,L,Herb,9.2,174,37,used in stir fry
Fresh Coriander Powder,L,Spice,8.92,184,31,used in pizza
Fresh Cumin,mL,Spice,9.05,139,13,used in salads
Fresh Cumin,L,Spice,11.44,79,41,used in curry dishes
Fresh Garlic,g,Vegetable,19.97,21,12,used in biryani
Fresh Garlic,pcs,Vegetable,0.83,176,32,used in soups
Fresh Garlic,pcs,Vegetable,9.14,101,21,used in desserts
Fresh Ginger,g,Vegetable,13.8,80,33,used in sauces
Fresh Ginger,pcs,Vegetable,15.84,112,32,used in pizza
Fresh Honey,kg,Sweetener,5.85,169,36,used in desserts
Fresh Honey,L,Sweetener,6.33,27,22,used in sauces
Fresh Kidney Beans,pcs,Legume,10.29,27,15,used in pasta recipes
Fresh Kidney Beans,mL,Legume,15.62,172,23,used in stir fry
Fresh Kidney Beans,mL,Legume,9.57,133,39,used in sauces
Fresh Lentils,mL,Legume,11.68,46,39,used in pasta recipes
Fresh Mayonnaise,L,Condiment,15.09,196,11,used in sauces
Fresh Mayonnaise,L,Condiment,6.11,162,35,used in grilled dishes
Fresh Mayonnaise,L,Condiment,5.73,107,46,used in grilled dishes
Fresh Mayonnaise,mL,Condiment,13.32,136,5,used in pizza
Fresh Milk,kg,Dairy,16.34,180,10,used in curry dishes
Fresh Milk,mL,Dairy,7.45,19,7,used in pizza
Fresh Mint,mL,Herb,18.81,159,16,used in salads
Fresh Mint,pcs,Herb,18.82,51,38,used in pasta recipes
Fresh Mozzarella,mL,Dairy,15.13,172,34,used in sauces
Fresh Mozzarella,kg,Dairy,19.83,189,43,used in sauces
Fresh Mozzarella,pcs,Dairy,16.06,167,16,used in pasta recipes
Fresh Mustard Oil,pcs,Oil,6.81,105,35,used in grilled dishes
Fresh Mustard Oil,kg,Oil,11.67,164,9,used in salads
Fresh Mustard Oil,kg,Oil,14.49,54,22,used in curry dishes
Fresh Mustard Oil,mL,Oil,1.45,80,42,used in grilled dishes
Fresh Mutton,pcs,Meat,13.9,70,5,used in curry dishes
Fresh Mutton,g,Meat,15.5,32,47,used in soups
Fresh Mutton,L,Meat,15.36,179,47,used in stir fry
Fresh Mutton,mL,Meat,13.03,62,21,used in curry dishes
Fresh Noodles,g,Pasta,12.58,117,24,used in grilled dishes
Fresh Olive Oil,pcs,Oil,10.52,106,14,used in soups
Fresh Olive Oil,g,Oil,19.94,142,27,used in desserts
Fresh Onion,g,Vegetable,7.75,18,20,used in salads
Fresh Onion,mL,Vegetable,16.44,33,15,used in grilled dishes
Fresh Onion,kg,Vegetable,4.19,82,39,used in pizza
Fresh Paneer,pcs,Dairy,1.04,118,19,used in sauces
Fresh Paneer,g,Dairy,17.97,32,40,used in curry dishes
Fresh Paneer,g,Dairy,10.36,122,25,used in curry dishes
Fresh Pasta,kg,Pasta,19.9,192,26,used in grilled dishes
Fresh Pasta,g,Pasta,11.85,130,31,used in grilled dishes
Fresh Pork,g,Meat,16.04,198,39,used in pasta recipes
Fresh Pork,kg,Meat,2.64,138,23,used in pasta recipes
Fresh Pork,pcs,Meat,13.57,188,45,used in burgers
Fresh Pork,mL,Meat,18.28,89,24,used in biryani
Fresh Potato,g,Vegetable,18.57,195,18,used in sauces
Fresh Potato,L,Vegetable,17.09,89,42,used in pasta recipes
Fresh Potato,g,Vegetable,19.45,28,38,used in burgers
Fresh Potato,kg,Vegetable,14.66,17,23,used in sauces
Fresh Potato,pcs,Vegetable,8.01,176,30,used in sauces
Fresh Potato,L,Vegetable,17.49,90,50,used in curry dishes
Fresh Rice,kg,Grain,4.2,108,21,used in soups
Fresh Rice,L,Grain,11.68,145,14,used in desserts
Fresh Salmon,L,Seafood,13.32,36,32,used in grilled dishes
Fresh Salmon,kg,Seafood,15.98,57,44,used in pizza
Fresh Salmon,pcs,Seafood,5.38,94,39,used in burgers
Fresh Salmon,L,Seafood,1.51,128,23,used in desserts
Fresh Salmon,g,Seafood,8.47,193,45,used in sauces
Fresh Salt,L,Spice,9.91,161,5,used in desserts
Fresh Salt,kg,Spice,2.94,17,31,used in desserts
Fresh Salt,g,Spice,7.11,113,43,used in grilled dishes
Fresh Salt,mL,Spice,6.37,200,7,used in sauces
Fresh Salt,L,Spice,13.85,87,35,used in salads
Fresh Shrimp,L,Seafood,18.17,165,43,used in sauces
Fresh Shrimp,mL,Seafood,1.3,18,23,used in stir fry
Fresh Shrimp,pcs,Seafood,2.49,80,11,used in pasta recipes
Fresh Soy Sauce,pcs,Condiment,1.22,196,35,used in pizza
Fresh Soy Sauce,pcs,Condiment,10.45,171,5,used in grilled dishes
Fresh Soy Sauce,mL,Condiment,9.4,185,17,used in biryani
Fresh Spaghetti,g,Pasta,1.81,197,38,used in stir fry
Fresh Spinach,g,Vegetable,1.94,78,44,used in pasta recipes
Fresh Spinach,g,Vegetable,13.66,198,43,used in curry dishes
Fresh Sugar,pcs,Sweetener,3.72,59,45,used in curry dishes
Fresh Sugar,mL,Sweetener,18.74,180,44,used in salads
Fresh Sugar,mL,Sweetener,19.59,155,43,used in salads
Fresh Sunflower Oil,L,Oil,3.24,16,26,used in pasta recipes
Fresh Tomato,mL,Vegetable,18.09,130,9,used in burgers
Fresh Tomato,pcs,Vegetable,6,51,33,used in burgers
Fresh Tomato Ketchup,mL,Condiment,4.2,69,14,used in grilled dishes
Fresh Tomato Ketchup,mL,Condiment,10.62,110,36,used in sauces
Fresh Tuna,mL,Seafood,7.3,106,10,used in pizza
Fresh Tuna,pcs,Seafood,3.56,196,9,used in stir fry
Fresh Tuna,mL,Seafood,12.41,180,46,used in burgers
Fresh Tuna,mL,Seafood,3.78,111,42,used in grilled dishes
Fresh Tuna,kg,Seafood,1.69,168,48,used in soups
Fresh Turmeric,mL,Spice,8.01,61,6,used in desserts
Fresh Vinegar,pcs,Condiment,18.75,101,30,used in stir fry
Fresh Wheat Flour,g,Flour,6.52,166,15,used in soups
Fresh Yogurt,g,Dairy,19.93,171,43,used in stir fry
Frozen All-purpose Flour,pcs,Flour,5.67,103,26,used in salads
Frozen All-purpose Flour,mL,Flour,15.15,170,49,used in sauces
Frozen Basil,L,Herb,5.89,19,35,used in pizza
Frozen Basil,L,Herb,13.71,191,25,used in salads
Frozen Basil,kg,Herb,19.83,44,7,used in desserts
Frozen Basil,kg,Herb,14.42,50,16,used in desserts
Frozen Basmati Rice,g,Grain,9.11,150,19,used in pizza
Frozen Basmati Rice,pcs,Grain,16.06,165,23,used in grilled dishes
Frozen Basmati Rice,g,Grain,10.19,121,20,used in curry dishes
Frozen Beef,kg,Meat,2.28,119,42,used in pizza
Frozen Black Pepper,kg,Spice,14.57,130,47,used in desserts
Frozen Black Pepper,g,Spice,17.14,183,41,used in desserts
Frozen Brown Rice,mL,Grain,17.97,114,8,used in curry dishes
Frozen Brown Rice,mL,Grain,12.75,91,42,used in soups
Frozen Brown Rice,mL,Grain,2.19,76,46,used in soups
Frozen Brown Rice,pcs,Grain,13.15,43,28,used in sauces
